equip_id,equip_slot,equip_name,equip_skill_1_id,equip_skill_1_rank,equip_skill_2_id,equip_skill_2_rank,equip_skill_3_id,equip_skill_3_rank,equip_skill_4_id,equip_skill_4_rank,equip_explain
1,Cook,두 배로 빠른 거품기,6,C,2,B,13,A,19,S,풍성한 거품을 만들어내는 최고의 거품기
2,Cook,하늘색 짤주머니,7,B,25,A,34,S,5,SS,소다맛이 나는 크림이 담긴 짤주머니
3,Cook,요리용 국자,12,B,29,A,19,S,10,SS,빠르게 휘저어도 고장나지 않는 국자
4,Cook,날카로운 중식도,28,B,8,A,22,S,15,SS,살짝만 스쳐도 손이 베일만큼 날카로운 칼
5,Cook,미니 뒤집개,1,C,17,B,33,A,26,S,작고 귀여운 캔디를 위한 안성맞춤 뒤집개
6,Cap,승리의 셰프 모자,17,B,13,A,30,S,24,SS,요리대회 1등 수상자의 모자
7,Cap,파란 모자,16,C,21,B,33,A,4,S,편안한 착용감의 파란 캡모자
8,Cap,시원한 밀집모자,11,C,32,B,18,A,9,S,여름 햇살을 막아주는 밀집 모자
9,Cap,단단한 방탄모,28,B,3,A,9,S,35,SS,세상에서 가장 튼튼한 방탄모
10,Cap,화가의 베레모,7,B,29,A,23,S,20,SS,골동품 가게에서 발견한 아주 오래된 모자
11,Cloth,검은색 반팔,6,C,32,B,29,A,14,S,베이직한 스타일의 검은 반팔티
12,Cloth,단정한 셔츠,32,B,18,A,4,S,24,SS,간결하고 깔끔한 흰색 셔츠
13,Cloth,핑크색 프릴 상의,11,C,28,B,8,A,34,S,최고의 데이트를 위한 핑크 상의
14,Cloth,공대생의 셔츠,2,B,33,A,14,S,27,SS,빈티지 스타일의 체크 셔츠
15,Cloth,파인애플 셔츠,32,B,8,A,26,S,31,SS,하와이에서만 판매하는 특별한 셔츠
16,Shoes,여름 바다 슬리퍼,2,B,33,A,23,S,10,SS,여름 휴가를 위한 하늘색 슬리퍼
17,Shoes,빨간색 하이탑,16,C,7,B,3,A,30,S,스타일링에 포인트를 주는 빨간 운동화
18,Shoes,나만의 운동화,12,B,22,A,30,S,35,SS,확실한 개성을 표현할 수 있는 운동화
19,Shoes,면접용 구두,21,B,18,A,9,S,5,SS,깔끔하고 세련된 갈색 구두
20,Shoes,보랏빛 장화,1,C,12,B,25,A,23,S,독특한 색상의 보라색 장화
